UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Connecticut Actual Load (MW),Maine Actual Load (MW),New Hampshire Actual Load (MW),Northeast Massachusetts Actual Load (MW),Rhode Island Actual Load (MW),Southeast Massachusetts Actual Load (MW),Vermont Actual Load (MW),Western/Central Massachusetts Actual Load (MW)
1/5/2024 19:00,1/5/2024 13:00,1/5/2024 14:00,1/5/2024,14,3232.876,1409.331,1506.854,3009.222,910.051,1637.49,746.637,1999.99
1/5/2024 20:00,1/5/2024 14:00,1/5/2024 15:00,1/5/2024,15,3312.934,1478.844,1520.758,3039.57,917.572,1701.18,760.019,2063.084
1/5/2024 21:00,1/5/2024 15:00,1/5/2024 16:00,1/5/2024,16,3473.177,1565.345,1561.167,3113.837,948.983,1819.853,775.209,2140.004
1/5/2024 22:00,1/5/2024 16:00,1/5/2024 17:00,1/5/2024,17,3703.605,1646.772,1649.021,3260.002,1016.227,1976.5,794.372,2277.082
1/5/2024 23:00,1/5/2024 17:00,1/5/2024 18:00,1/5/2024,18,3925.818,1691.669,1711.17,3351.111,1055.595,2060.024,806.244,2349.352
1/6/2024 0:00,1/5/2024 18:00,1/5/2024 19:00,1/5/2024,19,3922.691,1667.3,1684.173,3268.048,1045.727,2022.218,793.144,2307.22
1/6/2024 1:00,1/5/2024 19:00,1/5/2024 20:00,1/5/2024,20,3834.671,1617.097,1635.947,3207.045,1022.662,1989.621,766.723,2244.879
1/6/2024 2:00,1/5/2024 20:00,1/5/2024 21:00,1/5/2024,21,3722.488,1564.445,1571.751,3114.32,995.315,1923.104,738.364,2165.002
1/6/2024 3:00,1/5/2024 21:00,1/5/2024 22:00,1/5/2024,22,3570.738,1497.668,1482.388,2979.492,950.848,1821.475,729.929,2076.678
1/6/2024 4:00,1/5/2024 22:00,1/5/2024 23:00,1/5/2024,23,3356.145,1405.22,1379.04,2797.544,894.492,1705.935,689.738,1953.348
1/6/2024 5:00,1/5/2024 23:00,1/6/2024 0:00,1/5/2024,24,3157.331,1334.989,1282.636,2630.287,844.278,1585.645,646.636,1839.206
1/6/2024 6:00,1/6/2024 0:00,1/6/2024 1:00,1/6/2024,1,3007.47,1278.057,1213.929,2573.769,802.102,1500.71,613.135,1758.434
1/6/2024 7:00,1/6/2024 1:00,1/6/2024 2:00,1/6/2024,2,2901.102,1253.212,1170.208,2419.491,777.628,1461.695,595.722,1697.943
