ags,year,state,state_name,eligible_voters,number_voters,valid_votes,invalid_votes,turnout,cdu,csu,spd,gruene,fdp,linke_pds,afd,npd,rep,die_rechte,dvu,iii_weg,bf_b,ddd,dg,dns,drp,dsu,dkp,kpd,mlpd,sgp,spad,bsa,bwk,x50plus,ab_2000,ad_demokraten,adf,adm,agfg,apd,appd,aufbruch,b,bge,big,bp,buendnis_c,buendnis21,buergerbewegung,bueso,cbv,chance_2000,cm,deutschland,di_b,die_basis,die_humanisten,die_partei,dm,dp,dpd,du,eap,familie,forum,frauen,freie_waehler,fwd,gartenpartei,gb_bhe,gdp,gesundheitsforschung,graue,gvp,hp,liebe,liga,lkr,menschliche_welt,mg,muendige,naturgesetz,nichtwaehler,oedp,offensive_d,oko_union,partei_der_vernunft,pass,patrioten,pbc,pd_f,pdv,piraten,prg,pro_deutschland,pro_dm,rentner,rrp,schill,ssw,statt_partei,team_todenhoefer,tierschutz,tierschutzallianz,unabhaengige,usd,v_partei3,vaa,violetten,volksabstimmung,volt,zentrum,cdu_csu,far_right,far_left,far_left_w_linke
3044,1953,3,Niedersachsen,60171,54506,53035,1471,0.905851656,0.307580817,0,0.349778006,,0.139580964,,,,,,,,,,,0,0.010842843,,,0.013503101,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.048967086,,,,,,,,,,0.099200088,,,,0.003559241,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.307580817,0.010842843,0.013503101,0.013503101
3045,1953,3,Niedersachsen,68066,62483,60669,1814,0.91797667,0.267016629,0,0.343901541,,0.033209033,,,,,,,,,,,0,0.019333259,,,0.013923787,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.15055295,,,,,,,,,,0.139589968,,,,0.003440936,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.267016629,0.019333259,0.013923787,0.013923787
3046,1953,3,Niedersachsen,29715,26831,26126,705,0.902944641,0.365696396,0,0.349185643,,0.09850546,,,,,,,,,,,0,0.011143826,,,0.009392121,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.060676084,,,,,,,,,,0.074652454,,,,0.004472439,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.365696396,0.011143826,0.009392121,0.009392121
3047,1953,3,Niedersachsen,38273,33226,32301,925,0.868131581,0.35117077,0,0.252392705,,0.064046229,,,,,,,,,,,0,0.080298561,,,0.019352314,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.112442063,,,,,,,,,,0.082315054,,,,0.010142659,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.35117077,0.080298561,0.019352314,0.019352314
3048,1953,3,Niedersachsen,37738,32748,32168,580,0.867772537,0.368266764,0,0.257695126,,0.072615122,,,,,,,,,,,0,0.084921217,,,0.017008672,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.088890925,,,,,,,,,,0.086692317,,,,0.006198852,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.368266764,0.084921217,0.017008672,0.017008672
3049,1953,3,Niedersachsen,19739,16654,16176,478,0.843710421,0.52599976,0,0.193647172,,0.028521676,,,,,,,,,,,0,0.034586286,,,0.009727393,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.06574997,,,,,,,,,,0.108202234,,,,0.004863696,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.52599976,0.034586286,0.009727393,0.009727393
3050,1953,3,Niedersachsen,72345,65047,62996,2051,0.899122261,0.251372085,0,0.334896306,,0.037788061,,,,,,,,,,,0,0.034544253,,,0.008101834,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.158746752,,,,,,,,,,0.137992528,,,,0.005027134,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.251372085,0.034544253,0.008101834,0.008101834
3051,1953,3,Niedersachsen,61097,54973,53050,1923,0.899765946,0.282793371,0,0.202899605,,0.047859858,,,,,,,,,,,0,0.086642534,,,0.007767449,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.138031397,,,,,,,,,,0.19231259,,,,0.006712386,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.282793371,0.086642534,0.007767449,0.007767449
3052,1953,3,Niedersachsen,44016,39330,37947,1383,0.893538713,0.235977625,0,0.239333842,,0.034630053,,,,,,,,,,,0,0.053089245,,,0.00661073,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.219196542,,,,,,,,,,0.170963641,,,,0.005034325,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.235977625,0.053089245,0.00661073,0.00661073
3053,1953,3,Niedersachsen,75017,67597,65238,2359,0.901089086,0.246090803,0,0.175466367,,0.026776336,,,,,,,,,,,0,0.021953637,,,0.004674764,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.287468379,,,,,,,,,,0.199742592,,,,0.002929124,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.246090803,0.021953637,0.004674764,0.004674764
