company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodityall,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,information,source1,source2,source3,link1,link2,link3
"Cape Breton Development Corp., (DEVCO),",,,,,,No. 26 Colliery,Glace Bay ,Nova Scotia,46.17451388,-59.94872442,1900,1984,,,,,Coal,Coal,,,,,,,,"Closing of Number 26 Colliery, Glace Bay, Nova Scotia.",0,0,1,https://publications.gc.ca/collections/Collection/M39-78-2001E.pdf,,
Kerr Addison Gold Mines Ltd. ,Deak Resources Corp.,,,,,,Virginiatown ,Ontario,48.13708,-79.58034,1900,1963,1990,1996,,,Gold,Gold,,,,,,,,,0,0,1,https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI32D04SE00011.html,,
Sheep Creek Gold Mines Ltd. ,Aetna Investment Corp. Ltd.,,,,,Sheep Creek (Queen or Yellowstone),,British Columbia,49.143055,-117.13444,1900,1989,,,,,"Gold, Silver, Lead, Zinc, Silica",Gold,Silver,Lead,Zinc,Silica,,,,,0,0,1,https://bcgoldadventures.com/sheep-creek-mining-camp/,,
London Pride Silver Mines Ltd. ,,,,,,Cork-Province,slocan,British Columbia,49.907222,-117.07527,1900,1966,,,,,"Silver, Zinc, Lead, Cadmium, Gold, Copper",Silver,Zinc,Lead,Cadmium,Gold,Copper,,,,0,0,1,https://cmscontent.nrs.gov.bc.ca/geoscience/PropertyFile/NMI/082F14_Zn4.pdf,,
Bras D'Or Coal Co. Ltd.,,,,,,,Broughton ,Nova Scotia,46.08324017,-59.97585717,1901,1969,,,,,Coal,Coal,,,,,,,,many mines operated between 1901 and 1969 and it then became a ghost town (source3),0,0,1,https://notyourgrandfathersmining.ca/ghost-town-broughton,,
Highland-Bell Ltd. ,Mastodon-Highland Bell Mines Ltd. ,Leitch Mines Ltd.,Teck Corporation,,,,Beaverdell ,British Columbia,49.429166,-119.06222,1901,1978,,,,,"Silver, Lead, Zinc, Gold",Silver,Lead,Zinc,Gold,,,,,,0,0,1,https://cmscontent.nrs.gov.bc.ca/geoscience/PropertyFile/NMI/082E6_Ag1.pdf,,
Canadian Gypsum Co. Ltd.,CGC Inc.,,,,,,Hagersville ,Ontario,43.01223,-80.01629,1902,open,,,,,Gypsum,Gypsum,,,,,,,,,0,0,1,http://www.geologyontario.mndm.gov.on.ca/mndmfiles/MDI/data/records/MDI40P01SE00002.html,https://www.usg.com/content/usgcom/en_CA_east/about-cgc/history-of-cgc.html,
Silver Summit Mines Ltd.,Consolidated Summit Mines Limited,Barrick Resources Corporation,,,,Savage (Silver Summit),,Ontario,47.37574,-79.68324,1903,1964,,,,,Silver,Silver,,,,,,,,,0,0,1,https://digital.library.mcgill.ca/hrcorpreports/search/detail.php?company=Barrick%20Gold%20Corporation&ID=643,https://www.mindat.org/loc-21599.html,
Canadian Refractories Ltd. ,"Dresser Industries Canada, Ltd.. (Canadian Refractories Division) (1975)",,,,,Kilmar or Dobbie?,Kilmar ,Quebec,45.75139,-74.61833,1907,1993,,,,,Magnesitic Dolomite,Magnesitic Dolomite,,,,,,,,"Formerly: Kilmar Mine, Kilmar, Grenville township, Argenteuil Co., Québec, Canada

Mining started during World War I.The deposit was originally mined as an open pit. Underground mining began by means of adits from the open pit and then continued via a shaft sunk in 1937, reaching a depth of 700 feet in 1942.",0,0,1,https://www.mindat.org/loc-72867.html,https://www.mdpi.com/2075-163X/9/9/554,
Harrison-Hibbert Mines Ltd. ,,,,,,Mud,,Ontario,47.41481,-79.62552,1907,1965,,,,,Silver,Silver,,,,,,,,,0,0,1,https://www.mindat.org/loc-11757.html,,
Giant Mascot Mines Ltd. ,Golden Giant Mines Company,Siscoe Mines Limited,Baroid of Canada Ltd,,,Giant Mascot,Hope,British Columbia,49.46444,-121.51361,1908,1983,,,,,"Lead, Zinc, Silver, Copper, Barite, Antimony, Cadmium",Lead,Zinc,Silver,Copper,Barite,Antimony,Cadmium,,,0,0,1,https://inthewindermere.home.blog/2021/06/23/giant-mine-1/,https://www.mindat.org/loc-11356.html,
HiHo Silver Mines Ltd. ,Ontario Government,Cleopatra Mining Co. Ltd.,La Rose Mines Ltd.,Silver Miller Mines Ltd.,Glen Lake Silver Mines Ltd.,,Cobalt ,Ontario,47.37083,-79.66541,1909,1970,,,,,Silver,Silver,,,,,,,,"Glen Lake Silver Mines Ltd. Was another entry with overlap, but classified as the same and same location on the map. ",0,0,1,https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI31M05SE00073.html,,
McIntyre Porcupine Mines Ltd. ,,,,,,McIntyre,,Ontario,47.69009,-80.67301,1911,1984,,,,,"Silver, Cobalt",Silver,Cobalt,,,,,,,,0,0,1,https://www.mindat.org/loc-8344.html,https://www.mcintyrepowderproject.com/,https://ominous.app/browse/site/2365
Malagash Salt Co. Ltd. ,"Canadian Rock Salt Co. Ltd., The ",,,,,Malagash salt,Malagash,Nova Scotia,45.79235,-63.32344,1918,1961,,,,,Salt,Salt,,,,,,,,The currently entered coordinates are for the museum (see link attached),0,0,1,https://www.mindat.org/loc-290980.html,,
